"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.494814012E0,1.268195987E0,1.349551916E0,9.351150513E0
1.504500939E0,1.746760488E0,1.593619823E0,9.303294182E0
1.514188075E0,1.804188251E0,1.507478237E0,8.772088051E0
1.523873908E0,2.029113531E0,1.426122308E0,8.427521706E0
1.533560679E0,2.598605394E0,1.182054400E0,8.207381248E0
1.543246929E0,3.192025423E0,6.077769399E-1,8.331808090E0
1.552933908E0,3.326023579E0,5.455635786E-1,8.504091263E0
1.562620002E0,3.359523058E0,8.422735929E-1,8.350951195E0
1.572306721E0,3.838087559E0,9.284151793E-1,8.327022552E0
1.581993075E0,4.579862595E0,1.919043779E0,8.484949112E0
1.591679898E0,4.847858906E0,2.612962246E0,9.025727272E0
1.601366825E0,4.517649174E0,2.656033039E0,9.355937004E0
1.611055106E0,3.713660717E0,2.684746981E0,9.418149948E0
1.620741669E0,3.292523861E0,2.517249346E0,8.786444664E0
1.630426773E0,3.163311481E0,2.488535643E0,8.638090134E0
1.640113804E0,3.359523058E0,2.713460922E0,8.044670105E0
1.649799117E0,3.388236761E0,1.799402595E0,7.135396957E0
1.659484429E0,3.943371773E0,1.339980721E0,7.446464062E0
1.669170106E0,4.019941807E0,4.211367965E-1,7.546962738E0
1.678856304E0,4.488935471E0,-5.742774606E-1,8.164310455E0
1.688543752E0,4.843072891E0,-2.344966233E-1,9.293723106E0
1.698231564E0,4.814359188E0,-5.216353536E-1,8.116454124E0
1.707918596E0,4.871787071E0,-9.332008362E-1,7.192824841E0
1.717604794E0,5.340780258E0,-5.886343718E-1,6.795616150E0
1.727291564E0,5.431707382E0,-1.674975872E0,6.513263226E0
1.736976044E0,5.321637630E0,-2.833101988E0,7.858029366E0
1.746661252E0,5.407779217E0,-3.230310678E0,9.073583603E0
1.756347919E0,5.450850010E0,-2.579462767E0,9.288937569E0
1.766035106E0,5.398207664E0,-2.048256159E0,9.303294182E0
1.775720731E0,5.264209747E0,-1.708475351E0,9.207581520E0
1.785407294E0,5.087141037E0,-1.799402595E0,8.776873589E0
1.795093700E0,5.029713154E0,-2.268395901E0,8.054241180E0
1.804781096E0,4.953142643E0,-2.388036966E0,6.594619274E0
1.814467137E0,4.852644444E0,-2.880958557E0,5.048855782E0
1.824154064E0,4.924428940E0,-4.532006264E0,5.340780258E0
1.833841512E0,5.474778175E0,-4.584648132E0,5.848058701E0
1.843527867E0,6.130411625E0,-5.288137913E0,5.886343479E0
1.853214950E0,6.666403770E0,-5.230710506E0,5.848058701E0
1.862903908E0,6.905686378E0,-5.335994720E0,4.977071285E0
1.872590992E0,6.719046116E0,-5.618347645E0,4.890929699E0
1.882278335E0,6.484549522E0,-5.833701611E0,4.484149456E0
1.891965783E0,5.915057659E0,-6.273981094E0,4.254438877E0
1.901653648E0,5.436492920E0,-4.900500774E0,3.397808075E0
1.911341460E0,4.713860512E0,-5.541777134E0,2.301895380E0
1.921028596E0,5.106283665E0,-7.604390144E0,1.134197950E0
1.930714533E0,5.417350292E0,-8.011170387E0,1.713261008E0
1.940402658E0,5.580062389E0,-7.628318787E0,2.330609322E0
1.950089273E0,5.580062389E0,-7.034898758E0,2.392822742E0
1.959775731E0,5.364708424E0,-6.742974281E0,2.225325108E0
1.969461981E0,5.201996326E0,-7.235895634E0,1.990828395E0
1.979148700E0,5.173282623E0,-7.676175117E0,1.665404558E0
1.988834585E0,5.091926575E0,-8.145168304E0,1.205982566E0
1.998520367E0,4.919643402E0,-8.154739380E0,5.407779217E-1
2.008207242E0,4.867001057E0,-8.417949677E0,3.014956415E-1
2.017894325E0,4.546362877E0,-7.996813297E0,6.317051649E-1
2.027582554E0,4.292723656E0,-7.948956966E0,7.992027402E-1
2.037270002E0,3.986442566E0,-8.504091263E0,6.317051649E-1
2.046956877E0,3.838087559E0,-8.886942863E0,4.498506486E-1
2.056643648E0,3.632304668E0,-9.049654961E0,1.579262912E-1
2.066331356E0,3.354737282E0,-9.308079720E0,-1.292124242E-1
2.076018648E0,3.235096216E0,-9.145368576E0,3.062812984E-1
2.085705575E0,3.201596737E0,-9.207581520E0,1.024128079E0
2.095393439E0,3.168097258E0,-9.518648148E0,1.646261930E0
2.105080002E0,3.249453068E0,-9.652647018E0,1.550549030E0
2.114766981E0,2.890529871E0,-9.882357597E0,-1.124626637E0
2.124453908E0,2.665604353E0,-9.547362328E0,-1.249053478E0
2.134139794E0,2.598605394E0,-9.303294182E0,-1.794616938E0
2.143827658E0,2.483749866E0,-9.480362892E0,-1.182054400E0
2.153514794E0,2.842673302E0,-9.226723671E0,-5.934200287E-1
2.163200731E0,3.053241730E0,-9.456435204E0,4.785645381E-2
2.172888439E0,3.287738323E0,-9.791430473E0,5.694918036E-1
2.182575367E0,3.311666489E0,-1.005464077E1,1.004985496E-1
2.192262137E0,2.952743053E0,-1.002592659E1,-5.647061467E-1
2.201948700E0,2.435893536E0,-9.643074989E0,-1.215553880E0
2.211634012E0,2.134397745E0,-9.485149384E0,-1.296909928E0
2.221320783E0,1.981257200E0,-9.365508080E0,-7.417750359E-1
2.231006825E0,1.076770186E0,-8.953942299E0,1.538106441E1
2.240692867E0,9.858429432E-1,-9.303294182E0,-7.561319470E-1
2.250380106E0,1.411765337E0,-8.705088615E0,-2.593819857E0
2.260066669E0,2.057827473E0,-9.241081238E0,-1.138983607E0
2.269752346E0,2.617748022E0,-9.418149948E0,-8.327022791E-1
2.279439429E0,2.933600664E0,-9.848857880E0,-9.667003751E-1
2.289125835E0,2.952743053E0,-9.987641335E0,-9.858429432E-1
2.298813023E0,2.914458036E0,-1.004506969E1,-8.279166222E-1
2.308500835E0,2.900100946E0,-1.017906761E1,-8.614161611E-1
2.318187033E0,2.718246460E0,-9.863214493E0,-8.422735929E-1
2.327874325E0,2.335394859E0,-9.580862045E0,-9.571290612E-1
2.337561408E0,2.182254314E0,-9.451649666E0,-9.332008362E-1
2.347247606E0,2.067398787E0,-9.422935486E0,-1.167697430E0
2.356935939E0,2.048256159E0,-9.537791252E0,-1.244267821E0
2.366623960E0,1.928615093E0,-9.585647583E0,-1.368694544E0
2.376311304E0,1.770688772E0,-9.614361763E0,-1.588834286E0
2.385998752E0,1.698904037E0,-9.662218094E0,-1.722832322E0
2.395685471E0,1.756331801E0,-9.734002113E0,-1.794616938E0
2.405371617E0,1.775474429E0,-9.829715729E0,-1.574477315E0
2.415057554E0,1.895115495E0,-9.872786522E0,-1.497906923E0
2.424741721E0,1.966900229E0,-9.853643417E0,-1.483550072E0
2.434427189E0,1.497906923E0,-7.202396393E0,-2.230110645E0
2.444112971E0,5.934200287E-1,-9.786644936E0,-1.818545222E0
2.453799429E0,1.119840980E0,-1.106441212E1,-7.130611539E-1
2.463486564E0,1.450050473E0,-1.044706345E1,-1.545763373E0
