"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.417435520E0,2.785245657E0,8.901300430E-1,1.020778179E1
1.427114791E0,2.622533560E0,1.024128079E0,9.997213364E0
1.436796354E0,2.986242771E0,8.327022791E-1,1.010249710E1
1.446477343E0,3.005385160E0,4.402793646E-1,1.010249710E1
1.456158958E0,2.900100946E0,6.221339107E-1,9.978070259E0
1.465839791E0,2.880958557E0,6.939185858E-1,9.719645500E0
1.475520052E0,2.900100946E0,3.349951804E-1,9.470791817E0
1.485201145E0,3.278167009E0,-4.785645287E-3,9.360722542E0
1.494883124E0,3.235096216E0,1.914258115E-2,9.193224907E0
1.504564843E0,3.254238844E0,-1.914258152E-1,9.547362328E0
1.514244791E0,3.048455954E0,-9.571290575E-3,9.614361763E0
1.523925520E0,2.818745136E0,1.387837082E-1,9.355937004E0
1.533606614E0,3.086741209E0,-2.057827413E-1,9.513862610E0
1.543285520E0,3.196810961E0,-3.014956415E-1,9.585647583E0
1.552966458E0,3.340380430E0,-2.632105052E-1,9.298508644E0
1.562646510E0,3.536591768E0,-4.833501875E-1,9.494720459E0
1.572326979E0,4.134797573E0,-2.967100143E-1,6.589833736E0
1.582007031E0,3.125026464E0,-2.158325911E0,1.245703506E1
1.591688593E0,2.397608280E0,-5.838487148E-1,9.375079155E0
1.601370260E0,2.842673302E0,1.100698411E-1,1.010728264E1
1.611050781E0,2.818745136E0,0.000000000E0,9.494720459E0
1.620732135E0,2.517249346E0,-1.076770186E0,1.054756260E1
1.630412031E0,2.172683001E0,-4.067798555E-1,9.207581520E0
1.640093020E0,2.732603550E0,-4.881358147E-1,1.006899738E1
1.649774218E0,2.378465652E0,-5.599204898E-1,9.872786522E0
1.659455364E0,1.507478237E0,-4.881358147E-1,9.351150513E0
1.669136354E0,2.732603550E0,-8.614161611E-1,9.585647583E0
1.678815833E0,2.622533560E0,6.221338734E-2,9.695717812E0
1.688497604E0,2.258824587E0,3.014956415E-1,9.006584167E0
1.698177291E0,2.277967215E0,2.871387079E-2,9.135796547E0
1.707857031E0,2.373680115E0,-8.614161611E-2,9.341579437E0
1.717537395E0,2.368894339E0,-5.264209956E-2,9.470791817E0
1.727218906E0,2.277967215E0,1.387837082E-1,9.533005714E0
1.736899583E0,2.249253273E0,1.244267747E-1,9.748359680E0
1.746580833E0,2.187039852E0,1.770688742E-1,1.025085258E1
1.756260937E0,2.057827473E0,3.349951804E-1,1.032742214E1
1.765942395E0,1.579262972E0,1.024128079E0,8.968298912E0
1.775622916E0,1.153340459E0,6.939185858E-1,8.216953278E0
1.785304062E0,9.906286001E-1,2.392822653E-1,8.250452042E0
1.794984218E0,1.373480201E0,-2.297109663E-1,8.240880966E0
1.804664114E0,1.789831281E0,-5.264210105E-1,7.824530125E0
1.814343645E0,4.153940201E0,-8.106883049E0,8.767302513E0
1.824024374E0,2.249253273E0,1.301695466E0,1.167218876E1
1.833704791E0,2.014756680E0,1.062413216E0,1.893679810E1
1.843384947E0,3.445664644E-1,-3.541377485E-1,1.724746513E1
1.853064374E0,4.594219327E-1,-1.000199914E0,9.202795982E0
1.862743958E0,2.009970993E-1,-1.674975902E-1,5.881557941E0
1.872422864E0,9.714859724E-1,6.077769399E-1,8.456234932E0
1.882103229E0,4.354937077E-1,1.392622828E0,1.036570740E1
1.891783749E0,-5.551348329E-1,1.507478237E0,1.023649502E1
1.901465052E0,-1.440479279E0,2.100898266E0,9.954142570E0
1.911144322E0,-1.201196909E0,1.301695466E0,1.045184898E1
1.920824687E0,-3.876372576E-1,-1.674975902E-1,1.033220863E1
1.930505677E0,9.571290761E-2,-1.052842021E0,8.829515457E0
1.940186302E0,3.972085714E-1,-1.244267821E0,7.173682213E0
1.949866562E0,9.092726111E-1,-1.148554921E0,6.393621922E0
1.959546979E0,1.071984529E0,-3.541377485E-1,5.441278458E0
1.969226614E0,1.383051515E0,3.206382394E-1,5.757131100E0
1.978907656E0,3.259024382E0,-1.033220863E1,7.776673794E0
1.988586979E0,1.450050473E0,1.986042738E0,8.642875671E0
1.998267187E0,1.531406522E0,2.450250387E0,1.161954689E1
2.007947812E0,5.613562107E0,3.881158352E0,3.325066376E1
2.017628177E0,1.966900229E0,-7.671389580E0,3.326023579E0
2.027309635E0,-1.244267747E-1,2.656033039E0,2.775674343E0
2.036990677E0,1.225125194E0,4.225724697E0,1.610848236E1
2.046670520E0,1.383051515E0,-6.139982700E0,1.110748291E1
2.056350624E0,-1.115055323E0,4.106083870E0,5.130211830E0
2.066031354E0,1.718046665E0,-3.416950703E0,1.349551964E1
2.075711979E0,-8.614161611E-2,1.923829436E0,7.762316704E0
2.085392031E0,-1.292124271E0,-7.752745152E-1,1.272981644E0
2.095072760E0,-1.067198873E0,2.163111687E0,5.111069202E0
2.104752760E0,-8.566305041E-1,-2.522035122E0,7.929814339E0
2.114433489E0,-1.397408366E0,1.100698471E0,1.598405480E0
2.124114427E0,1.718046665E0,-9.040083885E0,1.367258835E1
2.133795156E0,-2.344966233E-1,1.373480201E0,2.924029350E1
2.143475781E0,-2.249253243E-1,1.622333765E0,1.488814259E1
2.153154843E0,2.201396823E-1,3.177668571E0,9.700503349E0
2.162834635E0,5.551348329E-1,2.191825628E0,9.978070259E0
2.172513906E0,5.072783828E-1,1.363908887E0,1.016949654E1
2.182192968E0,1.627119333E-1,9.523434043E-1,9.667003632E0
2.191871614E0,-3.397808075E-1,5.790630579E-1,9.973284721E0
2.201551458E0,-3.780659735E-1,3.062812984E-1,9.906285286E0
2.211232916E0,7.657032460E-2,-4.498506486E-1,1.000678444E1
2.220912812E0,8.997012973E-1,-1.603191137E0,9.810572624E0
2.230592395E0,1.024128079E0,-7.369893789E-1,9.757930756E0
2.240272708E0,1.019342422E0,-2.823530734E-1,9.858428955E0
2.249953020E0,4.354937077E-1,-1.339980662E-1,9.863214493E0
2.259632447E0,-1.627119333E-1,-9.571290575E-3,9.882357597E0
2.269312083E0,-1.387837082E-1,-9.571290575E-3,9.868000984E0
2.278991458E0,-1.483550072E-1,4.785645287E-3,9.887143135E0
2.288671354E0,-1.483550072E-1,-4.785645287E-3,9.887143135E0
2.298350781E0,-1.339980662E-1,-9.571290575E-3,9.901499748E0
2.308030677E0,-1.339980662E-1,1.435693540E-2,9.882357597E0
2.317709427E0,-1.387837082E-1,0.000000000E0,9.882357597E0
2.327388958E0,-1.531406492E-1,4.785645287E-3,9.887143135E0
2.337068906E0,-1.387837082E-1,4.785645287E-3,9.877572060E0
2.346749166E0,-1.483550072E-1,-4.785645287E-3,9.887143135E0
2.356429010E0,-1.435693651E-1,0.000000000E0,9.882357597E0
2.366107760E0,-1.435693651E-1,4.785645287E-3,9.872786522E0
2.375788333E0,-1.435693651E-1,9.571290575E-3,9.877572060E0
2.385468697E0,-1.531406492E-1,4.785645287E-3,9.872786522E0
2.395149322E0,-1.579262912E-1,0.000000000E0,9.872786522E0
2.404830156E0,-1.292124242E-1,-4.785645287E-3,9.872786522E0
2.414510312E0,-1.531406492E-1,0.000000000E0,9.882357597E0
2.424190104E0,-1.292124242E-1,0.000000000E0,9.882357597E0
2.433869791E0,-1.483550072E-1,-1.435693540E-2,9.877572060E0
2.443550312E0,-1.435693651E-1,0.000000000E0,9.872786522E0
2.453230312E0,-1.579262912E-1,1.914258115E-2,9.868000984E0
2.462909687E0,-1.339980662E-1,0.000000000E0,9.877572060E0
2.472589479E0,-1.435693651E-1,1.435693540E-2,9.877572060E0
2.482268645E0,-1.387837082E-1,-1.435693540E-2,9.877572060E0
2.491948906E0,-1.531406492E-1,4.785645287E-3,9.877572060E0
2.501629322E0,-1.627119333E-1,9.571290575E-3,9.877572060E0
2.511309374E0,-1.483550072E-1,-9.571290575E-3,9.891928673E0
2.520989166E0,-1.435693651E-1,-9.571290575E-3,9.868000984E0
2.530669166E0,-1.435693651E-1,1.435693540E-2,9.877572060E0
2.540349322E0,-1.483550072E-1,-4.785645287E-3,9.868000984E0
2.550030416E0,-1.387837082E-1,9.571290575E-3,9.872786522E0
2.559710520E0,-1.339980662E-1,1.914258115E-2,9.872786522E0
2.569390885E0,-1.435693651E-1,0.000000000E0,9.868000984E0
2.579072343E0,-1.292124242E-1,0.000000000E0,9.872786522E0
2.588753072E0,-1.531406492E-1,0.000000000E0,9.930213928E0
2.598433593E0,-1.435693651E-1,1.435693651E-1,9.887143135E0
2.608115052E0,-5.072783828E-1,1.038485050E0,1.010249710E1
2.617795052E0,-1.129412293E0,1.234696507E0,1.011685371E1
2.627474166E0,-2.689532757E0,-1.038485050E0,9.915857315E0
