"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.903475066E0,-2.344966233E-1,-3.876372576E-1,-9.518648148E0
2.913141524E0,-1.483550072E-1,-3.780659735E-1,-9.604789734E0
2.922807983E0,-1.722832322E-1,-1.148554832E-1,-1.042313576E1
2.932474441E0,-6.221338734E-2,8.614161611E-2,-1.009771156E1
2.942140899E0,-1.052841991E-1,6.699903309E-2,-9.863214493E0
2.951807358E0,-1.100698411E-1,3.014956415E-1,-1.010249710E1
2.961473816E0,-5.742774159E-2,4.929214716E-1,-1.014556789E1
2.971140274E0,9.571290575E-3,1.627119333E-1,-1.002592659E1
2.980806733E0,-1.100698411E-1,-4.307080805E-2,-9.930213928E0
2.990473191E0,-1.148554832E-1,-4.307080805E-2,-9.920642853E0
3.000139649E0,-1.148554832E-1,-2.871387079E-2,-9.949356079E0
3.009806108E0,-1.100698411E-1,-4.785645381E-2,-9.934999466E0
3.019472566E0,-1.100698411E-1,-1.914258115E-2,-9.939785004E0
3.029139076E0,-1.052841991E-1,-3.828516230E-2,-9.925428391E0
3.038805535E0,-9.571290761E-2,-3.828516230E-2,-9.930213928E0
3.048471993E0,-1.052841991E-1,-4.307080805E-2,-9.939785004E0
3.058138451E0,-9.571290761E-2,-3.828516230E-2,-9.939785004E0
3.067804910E0,-9.571290761E-2,-4.307080805E-2,-9.934999466E0
3.077471368E0,-1.148554832E-1,-4.307080805E-2,-9.934999466E0
3.087137826E0,-1.100698411E-1,-9.571290575E-3,-9.925428391E0
3.096804285E0,-1.196411327E-1,-1.435693540E-2,-9.925428391E0
3.106470795E0,-9.092725813E-2,-2.871387079E-2,-9.939785004E0
3.116137253E0,-1.196411327E-1,-3.828516230E-2,-9.930213928E0
3.125803712E0,-1.196411327E-1,-3.349951655E-2,-9.930213928E0
3.135470170E0,-1.004985496E-1,-3.349951655E-2,-9.911071777E0
3.145136628E0,-1.100698411E-1,-3.828516230E-2,-9.930213928E0
3.154803087E0,-1.196411327E-1,-3.349951655E-2,-9.930213928E0
3.164469545E0,-1.052841991E-1,-4.307080805E-2,-9.930213928E0
3.174136056E0,-1.100698411E-1,-3.828516230E-2,-9.925428391E0
3.183802514E0,-1.100698411E-1,-4.785645381E-2,-9.954142570E0
3.193468972E0,-1.052841991E-1,-3.349951655E-2,-9.939785004E0
3.203135431E0,-1.196411327E-1,-3.828516230E-2,-9.939785004E0
3.212801889E0,-9.571290761E-2,-3.349951655E-2,-9.939785004E0
3.222468399E0,-1.004985496E-1,-3.349951655E-2,-9.944570541E0
3.232134858E0,-1.100698411E-1,-2.871387079E-2,-9.949356079E0
3.241801316E0,-1.148554832E-1,-4.307080805E-2,-9.934999466E0
3.251467774E0,-1.148554832E-1,-4.307080805E-2,-9.925428391E0
3.261134181E0,-1.004985496E-1,-3.828516230E-2,-9.930213928E0
3.270800743E0,-1.052841991E-1,-3.349951655E-2,-9.934999466E0
3.280467201E0,-1.052841991E-1,-3.828516230E-2,-9.939785004E0
3.290133660E0,-1.100698411E-1,-2.392822690E-2,-9.925428391E0
3.299800118E0,-1.148554832E-1,-3.828516230E-2,-9.939785004E0
3.309466576E0,-1.148554832E-1,-3.828516230E-2,-9.925428391E0
3.319133087E0,-1.052841991E-1,-2.871387079E-2,-9.925428391E0
3.328799545E0,-1.052841991E-1,-3.349951655E-2,-9.944570541E0
3.338466003E0,-1.148554832E-1,-2.871387079E-2,-9.939785004E0
3.348132462E0,-1.196411327E-1,-3.349951655E-2,-9.939785004E0
3.357798920E0,-1.052841991E-1,-3.349951655E-2,-9.939785004E0
3.367465431E0,-1.052841991E-1,-3.349951655E-2,-9.925428391E0
3.377131889E0,-1.100698411E-1,-3.828516230E-2,-9.920642853E0
3.386798399E0,-1.100698411E-1,-3.349951655E-2,-9.944570541E0
3.396464858E0,-1.100698411E-1,-1.914258115E-2,-9.944570541E0
3.406131316E0,-1.196411327E-1,-2.871387079E-2,-9.934999466E0
3.415797774E0,-1.148554832E-1,-4.307080805E-2,-9.934999466E0
3.425464285E0,-1.052841991E-1,-2.871387079E-2,-9.934999466E0
3.435130691E0,-1.100698411E-1,-4.785645381E-2,-9.925428391E0
3.444797201E0,-1.196411327E-1,-3.349951655E-2,-9.944570541E0
3.454463712E0,-1.244267747E-1,-3.828516230E-2,-9.944570541E0
3.464130170E0,-1.196411327E-1,-1.914258115E-2,-9.934999466E0
3.473796628E0,-1.148554832E-1,-2.871387079E-2,-9.925428391E0
3.483463139E0,-9.571290761E-2,-2.871387079E-2,-9.939785004E0
3.493129597E0,-1.004985496E-1,-2.392822690E-2,-9.944570541E0
3.502796056E0,-1.100698411E-1,-2.871387079E-2,-9.934999466E0
3.512462566E0,-1.148554832E-1,-3.828516230E-2,-9.925428391E0
3.522129024E0,-1.100698411E-1,-3.828516230E-2,-9.930213928E0
3.531795483E0,-1.004985496E-1,-3.828516230E-2,-9.944570541E0
3.541461993E0,-1.148554832E-1,-3.828516230E-2,-9.934999466E0
3.551128451E0,-1.292124242E-1,-3.349951655E-2,-9.944570541E0
3.560794910E0,-1.196411327E-1,-2.871387079E-2,-9.930213928E0
3.570461420E0,-1.100698411E-1,-3.349951655E-2,-9.949356079E0
3.580127878E0,-1.004985496E-1,-2.392822690E-2,-9.934999466E0
3.589794337E0,-9.571290761E-2,-4.785645381E-2,-9.930213928E0
3.599460847E0,-1.052841991E-1,-4.785645381E-2,-9.930213928E0
3.609127306E0,-1.052841991E-1,-2.392822690E-2,-9.939785004E0
3.618793816E0,-1.004985496E-1,-3.828516230E-2,-9.944570541E0
3.628460274E0,-1.196411327E-1,-4.307080805E-2,-9.939785004E0
3.638126733E0,-1.100698411E-1,-3.828516230E-2,-9.939785004E0
3.647793243E0,-1.148554832E-1,-2.871387079E-2,-9.944570541E0
3.657459701E0,-1.100698411E-1,-2.392822690E-2,-9.934999466E0
3.667126160E0,-1.100698411E-1,-2.871387079E-2,-9.949356079E0
3.676792670E0,-1.100698411E-1,-1.914258115E-2,-9.934999466E0
3.686459128E0,-1.148554832E-1,-1.914258115E-2,-9.939785004E0
3.696125639E0,-1.100698411E-1,-1.914258115E-2,-9.939785004E0
3.705792097E0,-1.100698411E-1,-3.828516230E-2,-9.930213928E0
3.715458608E0,-1.148554832E-1,-4.307080805E-2,-9.930213928E0
3.725125066E0,-1.196411327E-1,-5.264209956E-2,-9.925428391E0
3.734791524E0,-1.196411327E-1,-3.349951655E-2,-9.934999466E0
3.744458035E0,-1.148554832E-1,-3.828516230E-2,-9.930213928E0
3.754124493E0,-9.092725813E-2,-3.828516230E-2,-9.944570541E0
3.763791003E0,-1.100698411E-1,-2.392822690E-2,-9.954142570E0
3.773457462E0,-1.148554832E-1,-1.435693540E-2,-9.920642853E0
3.783123972E0,-1.148554832E-1,-2.392822690E-2,-9.930213928E0
3.792790431E0,-1.100698411E-1,-9.571290575E-3,-9.934999466E0
3.802456889E0,-1.148554832E-1,-2.871387079E-2,-9.930213928E0
3.812123399E0,-1.196411327E-1,-4.307080805E-2,-9.949356079E0
3.821789858E0,-1.196411327E-1,-3.828516230E-2,-9.934999466E0
3.831456368E0,-1.004985496E-1,-2.871387079E-2,-9.934999466E0
3.841122826E0,-1.052841991E-1,-2.392822690E-2,-9.934999466E0
3.850789337E0,-1.196411327E-1,-2.871387079E-2,-9.930213928E0
3.860455795E0,-1.004985496E-1,-2.871387079E-2,-9.954142570E0
