"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.737134391E1,-1.292124242E-1,9.915857315E0,1.770688742E-1
1.738102818E1,-1.196411327E-1,9.925428391E0,1.818545163E-1
1.739071323E1,-1.435693651E-1,9.920642853E0,1.579262912E-1
1.740039714E1,-1.387837082E-1,9.930213928E0,1.818545163E-1
1.741008162E1,-1.148554832E-1,9.934999466E0,1.770688742E-1
1.741976568E1,-1.148554832E-1,9.934999466E0,1.818545163E-1
1.742945026E1,-1.244267747E-1,9.944570541E0,1.866401732E-1
1.743913573E1,-1.100698411E-1,9.930213928E0,1.770688742E-1
1.744882016E1,-1.100698411E-1,9.925428391E0,1.722832322E-1
1.745850417E1,-1.004985496E-1,9.930213928E0,1.818545163E-1
1.746818917E1,-1.339980662E-1,9.930213928E0,1.770688742E-1
1.747787292E1,-1.387837082E-1,9.925428391E0,1.674975902E-1
1.748755750E1,-1.244267747E-1,9.934999466E0,1.770688742E-1
1.749724193E1,-1.292124242E-1,9.925428391E0,1.770688742E-1
1.750692745E1,-1.339980662E-1,9.925428391E0,1.674975902E-1
1.751661026E1,-1.244267747E-1,9.925428391E0,1.866401732E-1
1.752629620E1,-1.148554832E-1,9.925428391E0,1.914258152E-1
1.753598193E1,-1.196411327E-1,9.925428391E0,1.722832322E-1
1.754566896E1,-1.244267747E-1,9.930213928E0,1.722832322E-1
1.755535391E1,-1.244267747E-1,9.944570541E0,1.770688742E-1
1.756503902E1,-1.339980662E-1,9.920642853E0,1.866401732E-1
1.757472443E1,-1.196411327E-1,9.925428391E0,1.818545163E-1
1.758440922E1,-1.196411327E-1,9.925428391E0,1.818545163E-1
1.759409474E1,-1.339980662E-1,9.930213928E0,1.722832322E-1
1.760377792E1,-1.196411327E-1,9.934999466E0,1.770688742E-1
1.761346276E1,-1.244267747E-1,9.915857315E0,1.914258152E-1
1.762314652E1,-1.339980662E-1,9.934999466E0,1.914258152E-1
1.763283016E1,-1.244267747E-1,9.915857315E0,1.722832322E-1
1.764251287E1,-1.148554832E-1,9.934999466E0,1.914258152E-1
1.765219902E1,-1.244267747E-1,9.915857315E0,1.866401732E-1
1.766188438E1,-1.292124242E-1,9.925428391E0,1.914258152E-1
1.767156969E1,-1.244267747E-1,9.939785004E0,1.866401732E-1
