"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.205955699E0,-7.111468792E0,2.746960402E0,6.058627129E0
1.215639241E0,-7.192824841E0,2.440679073E0,5.450850010E0
1.225324814E0,-7.010970116E0,2.249253273E0,5.675775528E0
1.235010230E0,-6.853044033E0,2.483749866E0,6.336194515E0
1.244695439E0,-7.039684296E0,3.081955671E0,6.848258495E0
1.254379605E0,-7.188039303E0,3.397808075E0,6.666403770E0
1.264065365E0,-7.255038261E0,3.125026464E0,6.278766632E0
1.273750261E0,-7.661818027E0,2.383251429E0,5.876772404E0
1.283435938E0,-7.714460373E0,2.311466694E0,6.340980053E0
1.293121719E0,-7.379465103E0,1.919043779E0,6.116054535E0
1.302806667E0,-7.154539585E0,1.641476393E0,5.139782906E0
1.312491407E0,-6.848258495E0,2.215753794E0,3.924229145E0
1.322177761E0,-6.675975323E0,2.550748825E0,4.163511276E0
1.331863126E0,-6.628118515E0,2.086541414E0,4.900500774E0
1.341548542E0,-6.881757736E0,2.158325911E0,5.656632900E0
1.351233282E0,-7.384250641E0,1.933400750E0,6.106483459E0
1.360919219E0,-7.838887215E0,1.201196909E0,5.809773445E0
1.370604376E0,-7.786244869E0,9.523434043E-1,5.723631859E0
1.380288646E0,-8.130811691E0,7.274180651E-1,5.230710506E0
1.389973907E0,-9.231510162E0,8.327022791E-1,5.479563713E0
1.399659584E0,-1.122712421E1,2.105684042E0,6.719046116E0
1.409343230E0,-1.240439224E1,2.378465652E0,6.273981094E0
1.419027605E0,-1.161476135E1,2.096112728E0,5.694917679E0
1.428714376E0,-9.643074989E0,6.939185858E-1,4.914857864E0
1.438399376E0,-8.437092781E0,-6.221339107E-1,2.976671457E0
1.448084636E0,-8.843872070E0,-2.584248483E-1,2.823530674E0
1.457769219E0,-8.949156761E0,-2.440679073E-1,3.885943890E0
1.467453073E0,-9.121439934E0,-6.699903607E-1,4.063013077E0
1.477137709E0,-9.068798065E0,-1.100698471E0,3.507878065E0
1.486823855E0,-8.724231720E0,-1.277767301E0,3.158525944E0
1.496508646E0,-8.255238533E0,-1.416550994E0,3.144168854E0
1.506193334E0,-7.814958572E0,-1.406979680E0,3.321237803E0
1.515878646E0,-7.690532207E0,-1.344766378E0,3.517449379E0
1.525565417E0,-7.762316704E0,-7.034898400E-1,4.125226021E0
1.535250834E0,-7.972885132E0,-4.881358147E-1,4.235296249E0
1.544935469E0,-8.250452042E0,-9.571290575E-3,3.512663603E0
1.554621094E0,-8.379665375E0,3.397808075E-1,3.818944931E0
1.564306251E0,-8.470592499E0,4.929214716E-1,4.273581028E0
1.573991667E0,-9.202795982E0,1.124626637E0,4.948357105E0
1.583677813E0,-9.236295700E0,4.642075896E-1,2.435893536E0
1.593363490E0,-1.093041420E1,1.220339537E0,1.014078236E1
1.603048490E0,-1.108833981E1,8.279166222E-1,7.312466145E0
1.612733855E0,-1.085384369E1,4.115654826E-1,4.972285271E0
1.622418855E0,-1.059541893E1,-7.992027402E-1,4.182653904E0
1.632104011E0,-1.047577763E1,-1.560120344E0,4.809573650E0
1.641790053E0,-1.034177971E1,-1.512263894E0,4.345366001E0
1.651474428E0,-1.052841949E1,-9.092726111E-1,2.761317253E0
1.661159792E0,-1.023649502E1,-5.790630579E-1,2.579462767E0
1.670844636E0,-9.609575272E0,-5.599204898E-1,3.220739365E0
1.680529480E0,-8.824729919E0,-6.221339107E-1,4.235296249E0
1.690214844E0,-8.599804878E0,-2.344966233E-1,4.589433670E0
1.699900469E0,-8.556734085E0,3.445664644E-1,4.565505505E0
1.709585573E0,-8.676374435E0,-3.684946895E-1,2.919243574E0
1.719270573E0,-8.422736168E0,2.536391914E-1,3.235096216E0
1.728955938E0,-8.762516975E0,0.000000000E0,3.809373617E0
1.738640105E0,-9.174081802E0,-9.092725813E-2,3.689732552E0
1.748325782E0,-9.437292099E0,2.871387079E-2,2.766103029E0
1.758013803E0,-9.509077072E0,-3.828516230E-2,2.019542217E0
1.767699428E0,-9.183652878E0,1.004985496E-1,1.942971945E0
1.777384532E0,-8.934800148E0,2.871387079E-2,1.483550072E0
1.787070105E0,-9.001798630E0,-3.732803464E-1,2.569891453E0
1.796755157E0,-9.188439369E0,-7.800601721E-1,3.067598581E0
1.806438594E0,-9.255437851E0,-1.081555843E0,3.598805189E0
1.816122865E0,-9.681360245E0,-6.987041831E-1,3.972085476E0
1.825806251E0,-9.734002113E0,-3.876372576E-1,4.173082829E0
1.835491094E0,-1.010728264E1,-6.508477330E-1,3.933800459E0
1.845176719E0,-1.017906761E1,-3.349951804E-1,3.029313564E0
1.854861563E0,-1.014078236E1,3.493520916E-1,2.311466694E0
1.864547709E0,-1.005464077E1,5.599204898E-1,2.560320139E0
1.874234740E0,-1.055713367E1,2.249253243E-1,2.512463808E0
1.883921042E0,-1.036092186E1,3.349951804E-1,2.373680115E0
1.893607084E0,-1.003549862E1,7.657032460E-2,2.383251429E0
1.903294428E0,-1.009771156E1,-3.541377485E-1,2.742174864E0
1.912981303E0,-9.992427826E0,-7.465606928E-1,2.660818815E0
1.922666511E0,-1.005942631E1,-1.560120344E0,3.067598581E0
1.932353178E0,-9.824930191E0,-1.804188251E0,3.900300980E0
1.942039271E0,-9.614361763E0,-1.536192179E0,4.034298897E0
1.951723855E0,-9.475577354E0,-1.148554921E0,3.086741209E0
1.961408334E0,-9.461220741E0,-5.168496966E-1,2.407179594E0
1.971094219E0,-9.202795982E0,7.657032460E-2,1.785045743E0
1.980779271E0,-9.121439934E0,4.259224236E-1,1.655833244E0
1.990464688E0,-9.207581520E0,4.546363056E-1,1.708475351E0
2.000149740E0,-9.566504478E0,3.158525825E-1,2.134397745E0
2.009835782E0,-9.772287369E0,-4.785645287E-3,2.230110645E0
2.019521511E0,-9.791430473E0,-3.876372576E-1,2.440679073E0
2.029206771E0,-9.437292099E0,-1.138983607E0,2.775674343E0
2.038891511E0,-8.886942863E0,-1.383051515E0,3.014956474E0
2.048576876E0,-8.417949677E0,-1.359123230E0,1.832902193E0
2.058261719E0,-8.202595711E0,-1.440479279E0,2.268395901E0
2.067946771E0,-8.102097511E0,-1.143769264E0,1.512263894E0
2.077631980E0,-8.073383331E0,-8.662018180E-1,1.651047587E0
2.087317969E0,-7.948956966E0,-8.135597110E-1,2.029113531E0
2.097003073E0,-2.078405762E1,7.968099594E0,1.177268744E0
2.106689271E0,-1.147119141E1,-2.201396823E-1,5.005784988E0
2.116375521E0,-1.017906761E1,-7.369893789E-1,3.215953588E0
2.126061198E0,-9.896714211E0,-6.077769399E-1,2.837887764E0
2.135747188E0,-1.001635551E1,-9.140582681E-1,2.426322222E0
2.145432292E0,-1.016471100E1,-6.652047038E-1,2.541177750E0
2.155117709E0,-9.767501831E0,-4.354937077E-1,2.498106956E0
2.164803178E0,-9.643074989E0,-3.637090325E-1,1.957328916E0
2.174488594E0,-9.590433121E0,-4.067798555E-1,2.191825628E0
2.184173542E0,-9.533005714E0,-5.886343718E-1,2.665604353E0
2.193856251E0,-9.724431038E0,-5.790630579E-1,2.273181438E0
2.203543178E0,-9.734002113E0,-5.216353536E-1,2.225325108E0
2.213229323E0,-9.671789169E0,-5.120640397E-1,2.129612207E0
2.222914740E0,-9.729216576E0,-5.312066078E-1,2.388036966E0
2.232600105E0,-9.724431038E0,-5.216353536E-1,2.019542217E0
2.242285782E0,-9.710074425E0,-5.168496966E-1,1.971685886E0
2.251971511E0,-9.662218094E0,-4.929214716E-1,2.143969059E0
